Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR)
Ushiromiya Krauss,"""W‐...well then, Father. What thoughts do you have regarding the next head?""","""...W-Well then, Father. What thoughts do you have regarding the Succession of the Headship?"" ","""W, ...well then, Father.  What thoughts do you have regarding the next head?""",「で、…ではお父さん。次期当主については、どういうお考えをお持ちですか。」,「で、…ではお父さん。次期当主については、どういうお考えをお持ちですか」,"""Н‐ну что ж, отец, тогда каковы твои соображения касательно следующего главы?""","""B‐...Bem, então, pai. O que você pensa a respeito do novo chefe?""",「那、…那么，爸爸。关于下任当主一事，您是有什么打算呢？」,「那、…那麼，爸爸。關於下任當主一事，您是有什麼打算呢？」,"""B... Bene allora, Padre. Che pensieri avete riguardo il prossimo capofamiglia?""",[=UP],"""B-Bien, padre. ¿Qué opinas del asunto del sucesor?""","""ﺣـ-... ﺣﺴﻨﺎً ﺇﺫﻥ، ﻳﺎ ﺃﺑﻲ. ﻣﺎ ﻫﻲ ﺃﻓﻜﺎﺭﻙ ﺑﺨﺼﻮﺹ ﺭﺏ ﺍﻟﻌﺎﺋﻠﺔ ﺍﻟﻘﺎﺩﻡ؟"""
Ushiromiya Kinzo,"""Hmph......... Since I am so completely disappointed in all of you, I've lost the desire to hand it over to anyone. Therefore, the Ushiromiya family will end here. It ends with my generation.""","""Hmph...... Since I am so utterly disappointed in all of you, I've lost the desire to hand it over to anyone. Therefore, the Ushiromiya family will end here. It ends with my generation."" ","""Hmph.........  Since I am so completely disappointed in all of you, I've lost the desire to hand it over to anyone.  Therefore, the Ushiromiya family will end here.  It ends with my generation.""",「ふ………。お前たちに完全に失望した以上、私は誰に引き継ぐ気も失った。よって、右代宮家はこれで終わる。私の代で終わりだ。」,「ふ………。お前たちに完全に失望した以上、私は誰に引き継ぐ気も失った。よって、右代宮家はこれで終わる。私の代で終わりだ」,"""Хмф... Поскольку я окончательно разочаровался в вас всех, то потерял всякое желание передавать главенство кому‐либо. Таким образом, семья Уширомия завершится здесь. Ей настанет конец в моём поколении.""","""Hmph......... Como estou completamente desapontado com todos vocês, eu perdi meu desejo de passar a liderança para qualquer um. Portanto, a família Ushiromiya terminará aqui. Chegará ao seu fim em minha geração.""",「哼………。由于我对你们完全失望了，所以我已不想让任何人继承。故，右代宫家就此完蛋。在我这代完蛋了。」,「哼………。由於我對你們完全失望了，所以我已不想讓任何人繼承。故，右代宮家就此完蛋。在我這代完蛋了。」,"""Hmph... dato che sono completamente deluso da tutti voi, ho perso il desiderio di passarlo a qualcuno. Pertanto, la famiglia Ushiromiya finirà qui. Finisce con la mia generazione.""",[=UP],"""Hmph... Estoy tan decepcionado con todos ustedes que no tengo ganas de entregarle el liderazgo a nadie. Por lo tanto, la familia Ushiromiya acaba aquí. Soy su última generación.""","""ﻫﻤﻒ......... ﺑﻤﺎ ﺃﻧﻨﻲ ﻣﺤﺒﻂ ﺗﻤﺎﻣﺎً ﻣﻨﻜﻢ ﺟﻤﻴﻌﺎً، ﻓﻘﺪﺕ ﺍﻟﺮﻏﺒﺔ ﻓﻲ ﺗﺴﻠﻴﻤﻬﺎ ﻷﻱ ﺷﺨﺺ. ﻟﺬﻟﻚ، ﺳﺘﻨﺘﻬﻲ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ ﻫﻨﺎ. ﺗﻨﺘﻬﻲ ﻣﻊ ﺟﻴﻠﻲ."""
Ushiromiya Krauss,"""......S‐surely we must......""","""...Th-That cannot..."" ","""......Th, that cannot......""",「……そ、そういうわけには……。」,「……そ、そういうわけには……」,"""......Э... этого не может...""","""......C‐Certamente, isso é......""",「……这、这可不成啊……」,「……這、這可不成啊……」,"""... Q-Questo non può...""",[=UP],"""... N-No puede...""","""......ﺑـ-ﺑﺎﻟﺘﺄﻛﻴﺪ ﻳﺠﺐ ﻋﻠﻴﻨﺎ......"""
Ushiromiya Kinzo,"""The Ushiromiya family was ruined long ago in that earthquake. The current Ushiromiya family is nothing but my own short‐lived vision of gold. ......The likes of which will end when I awaken from my slumber.""","""The Ushiromiya family was crushed long ago in that earthquake. The current Ushiromiya family is nothing but an illusion of gold I'm glimpsing for an instant. ...The likes of which will end when I awaken from my slumber. ","""The Ushiromiya family was crushed long ago in that earthquake.  The current Ushiromiya family is nothing but an illusion of gold I have seen for an instant.  ......The likes of which will end when I awaken from my slumber.",「右代宮家など、あの震災の時にとっくに滅んでおるわ。今の右代宮家など、私が束の間だけ見ている黄金の幻想に過ぎぬのだ。……私が夢より覚めれば、終わる程度のもの。,「右代宮家など、あの震災の時にとっくに滅んでおるわ。今の右代宮家など、私が束の間だけ見ている黄金の幻想に過ぎぬのだ。……私が夢より覚めれば、終わる程度のもの」,"""Семья Уширомия была сокрушена давным‐давно в том землетрясении. Нынешняя семья Уширомия — не более чем иллюзия золота, которую я на мгновение увидел. ......И которая завершится с моим пробуждением.""","""A família Ushiromiya foi arruinada muito tempo atrás em um terremoto. A atual família Ushiromiya não é nada mais do que minha própria fantasmagoria do ouro, que por um instante eu vislumbrei. ......As conexões irão acabar quando despertar de meu sono.""",「右代宫家早就在那场震灾时灭亡了。现在的右代宫家，只不过是我黄梁梦中的黄金幻想。……梦一醒，就会完蛋。」,「右代宮家早就在那場震災時滅亡了。現在的右代宮家，只不過是我黃梁夢中的黃金幻想。……夢一醒，就會完蛋。」,"""La famiglia Ushiromiya fu distrutta tempo fa dal terremoto. L'attuale famiglia Ushiromiya non è nient'altro che una illusione d'oro che io ho visto per un istante. ... Che finirà quando mi sveglierò dal mio sonno.",[=UP],"""La familia Ushiromiya fue aplastada hace tiempo en aquel terremoto. La actual familia Ushiromiya es solo una dorada ilusión que he visto durante un instante... La cual desaparecerá en cuanto despierte.""","""ﻟﻘﺪ ﺩُﻣِّﺮَﺕ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ ﻣﻨﺬ ﺯﻣﻦ ﺑﻌﻴﺪ ﻓﻲ ﺫﻟﻚ ﺍﻟﺰﻟﺰﺍﻝ. ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ ﺍﻟﺤﺎﻟﻴﺔ ﻟﻴﺴﺖ ﺳﻮﻯ ﺭﺅﻳﺘﻲ ﺍﻟﺬﻫﺒﻴﺔ ﻗﺼﻴﺮﺓ ﺍﻷﻣﺪ. ......ﻣﺜﻞ ﺍﻟﺘﻲ ﺳﺘﻨﺘﻬﻲ ﻋﻨﺪﻣﺎ ﺃﺳﺘﻴﻘﻆ ﻣﻦ ﺳﺒﺎﺗﻲ."""
Ushiromiya Kinzo,"""Hehheheh! This world is naught but a dream, an illusion. ...Life is but a daydream before the awakening called death.""","Hehheheh! Everything in this world is a dream, an illusion. ...Life is but a daydream before the awakening called death. ","  Hehheheh!  Everything in this world is a dream, an illusion.  ...Life is but a daydream before the awakening called death.",ふっふっふ！　この世など全ては夢、幻。…生など、死という目覚めの前には白昼夢と同じよ。,「ふっふっふ！　この世など全ては夢、幻。…生など、死という目覚めの前には白昼夢と同じよ」,"""Хе‐хе‐хе! Всё в этом мире лишь сон, иллюзия. ...Жизнь — не более чем грёза перед пробуждением по имени смерть.""","""Hehheheh! Este mundo não é nada mais do que um sonho, uma ilusão — um fantasma. ...A vida nada mais é do que um devaneio antes do despertar chamado morte.""",「哼哼哼！这个世界上的一切全是梦与幻想。…生不过等同于，在名为死的睁眼前的白日梦。」,「哼哼哼！這個世界上的一切全是夢與幻想。…生不過等同於，在名為死的睜眼前的白日夢。」,"Hehheheh! Tutto in questo mondo è un sogno, un'illusione. ... La vita non è nient'altro che un sogno ad occhi aperti prima del risveglio chiamato morte.",[=UP],"""¡Jejjejej! Todo en este mundo es un sueño, una ilusión... Vivir no es más que soñar hasta la llegada del despertar que llamamos muerte.""","""ﻫﻪ ﻫﻪ ﻫﻪ! ﻫﺬﺍ ﺍﻟﻌﺎﻟﻢ ﻟﻴﺲ ﺇﻻ ﺣﻠﻤﺎً، ﻭﻫﻤﺎً. ...ﺍﻟﺤﻴﺎﺓ ﻟﻴﺴﺖ ﺳﻮﻯ ﺣﻠﻢ ﻳﻘﻈﺔ ﻗﺒﻞ ﺍﻟﺼﺤﻮﺓ ﺍﻟﻤﺴﻤﺎﺓ ﺑﺎﻟﻤﻮﺕ."""
Ushiromiya Kinzo,"""Aaah, yes, and so it has been since the beginning!! That I should lose everything when I die was {f:5:Beatrice}'s contract, and her curse! Fuhhahhahha!! You think that will work, {f:5:Beatrice}?!""","Aaah, yes, that's how it was from the beginning!! That I should lose everything when I die was part of {f:5:Beatrice}'s contract, and her curse! Fuhahaha!! As if I'd let you, {f:5:Beatrice}! ","  Aaah, yes, that's how it was in the beginning!!  That I should lose everything when I die was Beatrice's contract, and her curse!  Fuhhahhahha!!  You think that will work, Beatrice?!",あぁ、そうだ、元よりそうだったのだ！！　私が死ぬ時に全てを失うのが、ベアトリーチェとの契約、そして呪い！　ふっはっはっは！！　そうは行くか、ベアトリーチェ！,「あぁ、そうだ、元よりそうだったのだ！！　私が死ぬ時に全てを失うのが、ベアトリーチェとの契約、そして呪い！　ふっはっはっは！！　そうは行くか、ベアトリーチェ！」,"""А‐а‐ах, да, так оно и было в самом начале! Что я лишусь всего после смерти было выдвинутым {f:5:Беатриче} условием, её проклятьем! Фха‐ха‐ха‐ха‐ха!!! Думаешь, это сработает, {f:5:Беатриче}?!""","""Aaah, sim, é assim desde o princípio!! O contrato com a {f:5:Beatrice} diz que eu devo perder tudo em minha morte; é sua maldição! Fuhhahhahha!! Você acha que isso vai funcionar, {f:5:Beatrice}?!""",「啊——，对了，本就是如此！！我在死时失去一切，乃是我与贝阿朵莉切的契约，及诅咒！哼哈哈哈！！哪会就这么结束啊，贝阿朵莉切！」,「啊——，對了，本就是如此！！我在死時失去一切，乃是我與貝阿朵莉切的契約，及詛咒！哼哈哈哈！！哪會就這麼結束啊，貝阿朵莉切！」,"Aaah, sì, era così sin dall'inizio!! Che dovessi perdere tutto con la mia morte era il contratto di Beatrice, e la sua maledizione! Fuhhahhahha!! Pensi che funzionerà, Beatrice?!",[=UP],"""¡¡Aaah, sí, así era desde el principio!! ¡El que yo perdiera todo con mi muerte era el contrato de {f:5:Beatrice}, y su maldición! ¡¡Fujjajjajja!! ¡¿Realmente crees que eso va a funcionar, {f:5:Beatrice}?!""","""ﺁﺁﻩ، ﺃﺟﻞ، ﻭﻫﻜﺬﺍ ﻛﺎﻥ ﺍﻷﻣﺮ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ!! ﺃﻥ ﺃﻓﻘﺪ ﻛﻞ ﺷﻲﺀ ﻋﻨﺪﻣﺎ ﺃﻣﻮﺕ ﻛﺎﻥ ﻋﻘﺪ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﻭﻟﻌﻨﺘﻬﺎ! ﻓﻮﻫﺎﻫﺎﻫﺎ!! ﻫﻞ ﺗﻈﻨﻴﻦ ﺃﻥ ﺫﻟﻚ ﺳﻴﻨﺠﺢ، ﻳﺎ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}؟!"""
Ushiromiya Kinzo,"""I will be the one to capture you!! Tonight, that shall become reality. *cackle*cackle*cackle*! Wahha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}haha!!""","I will be the one who captures you!! Tonight, that goal will be realized. *cackle*cackle*! Wahhahahahahaha!!"" ","  I will be the one to capture you!!  Tonight, that should become reality.  *cackle*cackle*cackle*!  Wahhahahahahahahahaha!!""",　お前を捕らえるのはこの私だ！！　今宵、それは現実となるだろう。くっくくくくく！　わっははははははははは！！」,「お前を捕らえるのはこの私だ！！　今宵、それは現実となるだろう。くっくくくくく！　わっははははははははは！！」,"""Я буду тем, кто поймает тебя! Сегодня это станет реальностью. *хи‐хи*хи‐хи*хи‐хи*! Вах‐ха‐ха‐ха‐ха‐ха!!!""","""Serei eu quem vai capturar você!! Esta noite, isto deve se tornar realidade. *gargalhada*gargalhada*gargalhada*! Wahha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}haha!!""",「我会抓住你的！！今宵，这将成为现实。呵、呵呵呵呵呵！哇、哈哈哈哈哈哈哈哈哈！！」,「我會抓住你的！！今宵，這將成為現實。呵、呵呵呵呵呵！哇、哈哈哈哈哈哈哈哈哈！！」,"Sarò quello che ti catturerà!! Stasera, diventerà realtà. *cackle*cackle*cackle*! Wahhahahahahahahahaha!!""",[=UP],"""¡¡Yo seré quien te capture!! Esta noche, eso se hará realidad. ¡*carcajada*carcajada*carcajada*! ¡¡Wajjajajajajajajajaja!!""","""ﺃﻧﺎ ﻣﻦ ﺳﺄﺳﺮﻙِ!! ﺍﻟﻠﻴﻠﺔ، ﺳﻴﺼﺒﺢ ﺫﻟﻚ ﺣﻘﻴﻘﺔ. *ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*! ﻭﺍﻫﺎ{0}ﻫﺎ{0}ﻫﺎ{0}ﻫﺎ{0}ﻫﺎ{0}ﻫﺎ{0}ﻫﺎ{0}ﻫﺎﻫﺎ!!"""
,"For a while, Kinzo was overcome with cackling, and his eyes bulged.","For a while, Kinzo was overcome with cackling, and his eyes bulged. ","For a while, Kinzo was overcome with cackling, and his eyes bulged.",金蔵はしばらくの間、白目を剥きながらげらげらと笑い転げる。,[=JP],"Кинзо на какое‐то время оказался одержим смехом, сверкая глазами.","Por um instante, Kinzo triunfou‐se, gargalhando, com seus olhos esbugalhados.",金藏在片刻间翻起白眼，捧腹大笑。,金藏在片刻間翻起白眼，捧腹大笑。,"Per un po', Kinzo fu sopraffatto dalle risate, e i suoi occhi sporgevano.",[=UP],"Kinzo se pasó un rato carcajeándose, con sus ojos saliéndose de sus órbitas.",ﻟﺒﻌﺾ ﺍﻟﻮﻗﺖ، ﻏﺮﻕ ﻛﻴﻨﺰﻭ ﻓﻲ ﺍﻟﻀﺤﻚ، ﻭﺟﺤﻈﺖ ﻋﻴﻨﺎﻩ.
,"Whenever he talked about {f:5:Beatrice}, he was always eloquent, and filled with obsession......","Whenever he talked about {f:5:Beatrice}, it was always both eloquent and insane... ","Whenever he talked about Beatrice, it was always eloquent and insane......",ベアトリーチェのことを語る時はいつも、彼は雄弁でそして狂気的だった……。,ベアトリーチェのことを語る時はいつも、彼は雄弁でそして妄執に満ちていた……。,"Стоило ему только заговорить о {f:5:Беатриче}, и его речь становилась витиеватой и безумной...","Sempre que falava sobre {f:5:Beatrice}, ele era eloquente e tomado pela obsessão......",在谈起贝阿朵莉切时，他总是既滔滔不绝又疯疯癫癫……。,在談起貝阿朵莉切時，他總是既滔滔不絕又瘋瘋癲癲……。,"Ogni volta che parlava di Beatrice, era sempre eloquente e folle...",[=UP],"Cuando hablaba de {f:5:Beatrice}, siempre tenía ese aire a elocuencia y locura...",ﻛﻠﻤﺎ ﺗﺤﺪﺙ ﻋﻦ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﻛﺎﻥ ﺩﺍﺋﻤﺎً ﺑﻠﻴﻐﺎً، ﻭﻣﻤﻠﻮﺀﺍً ﺑﺎﻟﻬﻮﺱ......
Ushiromiya Kinzo,"""Foolish sons and daughters such as yourselves were truly a daydream!! It is as though you were never there from the beginning!!""","""Foolish children such as yourselves truly are daydreams!! It's as though you were never there from the beginning!! ","""Foolish children such as yourselves are truly a daydream!!  It's as though you were never there from the beginning!!",「お前たちのような愚かなる息子たちなど、まさに白昼夢！！　初めからいなかったも同然よッ！！,「お前たちのような愚かなる息子たちなど、まさに白昼夢！！　初めからいなかったも同然よッ！！」,"""Глупые дети вроде вас воистину не более чем морок! Вас словно никогда и не было с самого начала!""","""Tolos filhos e filhas, não passam de um verdadeiro devaneio!! É como se nunca estivessem aqui desde o princípio!!""",「像你们这种蠢儿蠢女，正可谓是白日梦！！跟原本就没有一样！！」,「像你們這種蠢兒蠢女，正可謂是白日夢！！跟原本就沒有一樣！！」,"""Sciocchi figli come voi sono davvero una fantasia!! È come se non foste qui sin dall'inizio!!",[=UP],"""¡¡No cabe duda de que unos hijos tan insensatos como ustedes no son más que un sueño!! ¡¡Es como si nunca hubieran estado aquí!!""","""ﺃﺑﻨﺎﺀ ﻭﺑﻨﺎﺕ ﺣﻤﻘﻰ ﻣﺜﻠﻜﻢ ﻛﺎﻧﻮﺍ ﺣﻘﺎً ﺣﻠﻢ ﻳﻘﻈﺔ!! ﻭﻛﺄﻧﻜﻢ ﻟﻢ ﺗﻜﻮﻧﻮﺍ ﻣﻮﺟﻮﺩﻳﻦ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ!!"""
