Speaker,Steam (ST),Umineko Project (UP),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
Asmodeus,"""Ange‐sama, awesome, awesome!!"" ","""Ange‐sama, awesome, awesome!!""",「縁寿さま、すごいすごい！！」,[=JP],"""Энджи‐сама, вы чудо, чудо!""","""Ange‐sama, incrível, incrível!!""",「緣壽小姐，好棒好棒！！」,「缘寿小姐，好棒好棒！！」,"""Ange-sama, incredibile, incredibile!!""",[=UP]
,"Mammon and Asmodeus jumped onto Beelzebub, celebrating their reunion. ","Mammon and Asmodeus jumped on Beelzebub, celebrating their reunion.",ベルゼブブにマモンたちが飛びつき、再会を喜び合う。,[=JP],"Мамона и Асмодей напрыгнули на Вельзевула, радуясь встрече.","Mammon e Asmodeus pularam em Beelzebub, celebrando a reunião delas.",貝露賽布布撲向馬蒙與阿絲磨，歡慶重逢。,贝露赛布布扑向马蒙与阿丝磨，欢庆重逢。,"Mammon e Asmodeus saltarono addosso a Beelzebub, celebrando la loro riunione.",[=UP]
,...I'd summoned three people at once. ...My head was throbbing. ,......Summoning three people at once. ...My head was throbbing.,……３人同時召喚。…ずきりと頭が痛む。,[=JP],......Призыв трёх особ. ...В голове у меня стучал молоточек.,......Invocar três pessoas de uma só vez. ...Minha cabeça está latejando.,……同時召喚了三個。…感到腦袋陣陣刺痛。,……同时召唤了三个。…感到脑袋阵阵刺痛。,... Evocare tre persone in una volta. ... La mia testa stava pulsando.,[=UP]
,"Gotta summon the next one, without stopping for a break. ","Without resting, I summoned the next one.",休まず、次を呼び出す。,[=JP],"Без отдыха, призываю следующую.","Sem descansar, eu invoquei a próxima.",不休息，去召喚出下一個。,不休息，去召唤出下一个。,"Senza riposare, evoco la prossima.",[=UP]
Ushiromiya Ange,"""...Come, arise. One of the Seven Stakes, Belphegor of Sloth..."" ","""......Come, arise. One of the Seven Stakes of Purgatory, Belphegor the Slothful...""",「……さぁさ、お出でなさい。煉獄の七杭が一つ、怠惰のベルフェゴール…。」,「……さぁさ、お出でなさい。煉獄の七杭が一つ、怠惰のベルフェゴール…」,"""......Приди, предстань. Один из Семи кинжалов, Вельфегор, она же Лень...""","""......Venha, apareça. Uma das Sete Estacas do Purgatório, Belphegor, da Preguiça...""",「……來——來，出來吧。煉獄七樁之一，懶惰的貝露菲格露…」,「……来——来，出来吧。炼狱七桩之一，懒惰的贝露菲格露…」,"""... Vieni, sorgi. Uno dei Sette Pugnali, Belphegor dell'Accidia...""",[=UP]
Belphegor,"""Belphegor of Sloth, right here. ......To think...that I would be needed again..."" ","""Belphegor the Slothful, right here. .........My, ...to think that I would still be needed...""",「怠惰のベルフェゴール、ここに。………何と、…私がまだ必要とされるとは…。」,「怠惰のベルフェゴール、ここに。………何と、…私がまだ必要とされるとは…」,"""Вельфегор, она же Лень, на месте. .........Ну и ну... Подумать только, что я ещё могу кому‐то понадобиться...""","""Belphegor, da Preguiça, está aqui. .........Ora, ...e pensar que eu ainda seria necessária...""",「懶惰的貝露菲格露，在此。………居然，…我會再次被人所需要…」,「懒惰的贝露菲格露，在此。………居然，…我会再次被人所需要…」,"""Belphegor dell'Accidia, eccomi qui. ... Cielo... pensare che sarei servita ancora...""",[=UP]
Beelzebub,"""Belphe‐neeeeee! I'm huuungryyy! I mean, I'm so glad to see you again!!"" ","""Belphe‐neeeeee! I'm huuungryyy! I mean—I'm so glad to see you again!!""",「ベルフェ姉ぇえぇ！　お腹空いたぁ！じゃなくて、また会えて嬉しいぃ！！」,「ベルフェ姉ぇえぇ！　お腹空いたぁ！　じゃなくて、また会えて嬉しいぃ！！」,"""Вельфи‐не‐э‐э‐э! Есть хочется! То есть как я рада вновь видеть вас!""","""Belphe‐neeeeee! Estou com foooomeeeee! Digo — estou tão feliz em ver você de novo!!""",「貝露菲姐～！肚子餓啦～！啊、不對，好高興能再次見到姐姐～！！」,「贝露菲姐～！肚子饿啦～！啊、不对，好高兴能再次见到姐姐～！！」,"""Belpha-neeeeee! Ho fameeeeee! Voglio dire, sono lieta di rivederti!!""",[=UP]
Asmodeus,"""To think that the Seven Sisters would be able to meet again... Ange-sama, thank you so much!"" ","""To think that the Seven Sisters would be able to meet again... Ange‐sama, we are truly thankful!""",「また七姉妹みんなが再会できるなんて…。縁寿さま、本当にありがとうございます！」,[=JP],"""Семь сестёр всё‐таки вновь повидать друг друга... Энджи‐сама, мы от всего сердца благодарим вас!""","""E pensar que as Sete Irmãs seriam capazes de se encontrar novamente...{n}Ange‐sama, nós somos realmente gratas!""",「沒想到，我們七姐妹竟能再次相聚…。緣壽小姐，真的太感謝了！」,「没想到，我们七姐妹竟能再次相聚…。缘寿小姐，真的太感谢了！」,"""Pensare che le Sette Sorelle sarebbero state in grado di rincontrarsi... Ange-sama, le siamo davvero riconoscenti!""",[=UP]
Mammon,"""Keep it up and do Satan-nee next! And Levia-nee and Luci-nee...!!"" ","""Keep it up and do Satan‐nee next! And Levia‐nee and Luci‐nee...!!""",「この調子で次はサタン姉を！　レヴィア姉もルシ姉も…！！」,[=JP],"""Продолжайте в том же духе и призовите Сатану‐нее! А затем Левию‐нее и Люци‐нее!""","""Continue e a próxima será a Satan‐nee! E a Levia‐nee e depois a Luci‐nee...!!""",「就照這樣來，接著是撒旦姐！還有雷維阿姐與路西姐…！！」,「就照这样来，接着是撒旦姐！还有雷维阿姐与路西姐…！！」,"""Continui così e faccia Satan-nee come prossima! E Levia-nee e Luci-nee...!!""",[=UP]
Ushiromiya Ange,"""......Yeah, ...I get it. ...So please, try not to be so loud. ...Doing four people at the same time... is pretty...tough..."" ",""".........Yes, ...I know. ......So please, try not to be so loud. ......Doing four people at the same time......is pretty...tough...""",「………えぇ、…わかってるわ。……だからお願い、あまりうるさくしないで。……４人同時は、……結構、きつい…。」,「……えぇ、…わかってるわ。……だからお願い、あまりうるさくしないで。……４人同時は、……結構、きつい…」,""".........Угу, хорошо. ......Вы только постарайтесь не шуметь. ......Призвать одновременно четыре человека... оказалось... нелегко...""",""".........Sim, ...eu sei. ......Então, por favor, tente não gritar tanto. ......Fazer quatro de uma só vez......é bem...difícil...""",「………嗯，…知道。……所以，拜託別太吵。……四個同時，……不太吃得消…」,「………嗯，…知道。……所以，拜托别太吵。……四个同时，……不太吃得消…」,"""... Sì... ho afferrato. ... Quindi per favore, provate a non essere così rumorose. ... Fare quattro persone allo stesso tempo... è piuttosto... dura...""",[=UP]
Ushiromiya Maria,"""Ange, don't overdo it any more than this. You did a good job summoning even four of them after such a long time."" ","""Ange, don't push yourself any more than this. You did a great job summoning four of them after such a long time.""",「縁寿、もうそれ以上、無理をしないで。これだけ久し振りなのに、よく４人も召喚できたよ。」,「縁寿、もうそれ以上、無理をしないで。これだけ久し振りなのに、よく４人も召喚できたよ」,"""Энджи, лучше не переходи предел, которого сейчас достигла. Ты хорошо поработала, призвав уже четверых после столь долгого перерыва.""","""Ange, não se esforce mais do que isso. Você já fez um ótimo trabalho invocando quatro delas depois de tanto tempo.""",「緣壽，不要再勉強自己了。明明已相隔了那麼長時間，但緣壽卻漂亮地召喚出了四個哦。」,「缘寿，不要再勉强自己了。明明已相隔了那么长时间，但缘寿却漂亮地召唤出了四个哦。」,"""Ange, non spingerti più di così. Hai fatto un buon lavoro evocando ben quattro di loro dopo un bel po' di tempo.""",[=UP]
Belphegor,"""...Stop it, Mammon. Right now, Ange-sama is being pressured with the burden of summoning us. Ange-sama, I beg that you do not strain yourself too much..."" ","""...Stop it, Mammon. Our summoning is placing a heavy strain on Ange‐sama right now. Ange‐sama, I beg you not to push yourself too hard...""",「…よせ、マモン。今の縁寿さまには我らの召喚は負担を強いている。縁寿さま、どうかご無理をなされませんよう…。」,「…よせ、マモン。今の縁寿さまには我らの召喚は負担を強いている。縁寿さま、どうかご無理をなされませんよう…」,"""...Хватит, Мамона. В данный момент Энджи‐сама несёт нагрузку от призыва нас четырёх. Энджи‐сама, умоляю вас, не надо лишнего напряжения...""","""...Pare, Mammon. Nossa invocação está se transformando em um grande fardo para a Ange‐sama agora. Ange‐sama, eu imploro para que você não se force tanto...""",「…好了，馬蒙。對現在的緣壽小姐來說，召喚我等會給自身強加上負擔。緣壽小姐，還請千萬不要勉強…」,「…好了，马蒙。对现在的缘寿小姐来说，召唤我等会给自身强加上负担。缘寿小姐，还请千万不要勉强…」,"""... Fermati, Mammon. In questo momento, Ange-sama è oppressa dal peso di evocarci. Ange-sama, la prego di non sforzarsi troppo...""",[=UP]
